"","movie_index","original_title","moviesynthesis","neigbhoors"
53,53,"Indiana Jones and the Kingdom of the Crystal Skull","{'movie_id':'217','original_title':'Indiana Jones and the Kingdom of the Crystal Skull','overview':'Set during the Cold War; the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them; Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy°s colleague – Professor Oxley has been captured for his knowledge of the skull°s whereabouts.','tagline':'The adventure continues . . .','main_category':'Action','homepage':'http://www.indianajones.com/site/index.html'}","{'neighb1':'115','neighb2':'159','neighb3':'5','neighb4':'216','neighb5':'2'}"
54,54,"The Good Dinosaur","{'movie_id':'105864','original_title':'The Good Dinosaur','overview':'An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.','tagline':'Little Arms With Big Attitude','main_category':'Animation','homepage':'http://movies.disney.com/the-good-dinosaur'}","{'neighb1':'154','neighb2':'4259','neighb3':'429','neighb4':'399','neighb5':'734'}"
55,55,"Brave","{'movie_id':'62177','original_title':'Brave','overview':'Brave is set in the mystical Scottish Highlands; where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer; Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right; Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin; the surly Lord Macintosh; and the disagreeable Lord Dingwall.','tagline':'Change your fate.','main_category':'Adventure','homepage':'http://disney.go.com/brave/#/home'}","{'neighb1':'238','neighb2':'61','neighb3':'84','neighb4':'50','neighb5':'208'}"
56,56,"Star Trek Beyond","{'movie_id':'188927','original_title':'Star Trek Beyond','overview':'The USS Enterprise crew explores the furthest reaches of uncharted space; where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.','tagline':' ','main_category':'Adventure','homepage':'http://www.startrekmovie.com/'}","{'neighb1':'51','neighb2':'27','neighb3':'101','neighb4':'59','neighb5':'91'}"
57,57,"WALL·E","{'movie_id':'10681','original_title':'WALL·E','overview':'WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess; but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot; WALL·E thinks he°s finally found a friend and stows away on the ship when it leaves.','tagline':'An adventure beyond the ordinar-E.','main_category':'Family','homepage':'http://disney.go.com/disneypictures/wall-e/'}","{'neighb1':'34','neighb2':'614','neighb3':'137','neighb4':'328','neighb5':'146'}"
58,58,"Rush Hour 3","{'movie_id':'5174','original_title':'Rush Hour 3','overview':'After an attempted assassination on Ambassador Han; Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads° secret leaders. Lee also holds secret meetings with a United Nations authority; but his personal struggles with a Chinese criminal mastermind named Kenji; which reveals that it°s Lee°s long-lost...brother.','tagline':'The Rush Is On!','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'345','neighb2':'433','neighb3':'1991','neighb4':'2412','neighb5':'3477'}"
59,59,"2012","{'movie_id':'14161','original_title':'2012','overview':'Dr. Adrian Helmsley; part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms; learns that the earth°s core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world°s population; the entire race is doomed. Meanwhile; writer Jackson Curtis stumbles on the same information. While the world°s leaders race to build °arks° to escape the impending cataclysm; Curtis struggles to find a way to save his family. Meanwhile; volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.','tagline':'We Were Warned.','main_category':'Adventure','homepage':'http://www.sonypictures.com/movies/2012'}","{'neighb1':'51','neighb2':'101','neighb3':'56','neighb4':'27','neighb5':'91'}"
60,60,"A Christmas Carol","{'movie_id':'17979','original_title':'A Christmas Carol','overview':'Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence; what opportunities he wasted in his youth; his current cruelties; and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness; and must decide what his own future will hold: death or redemption.','tagline':'Season°s Greedings','main_category':'Drama','homepage':'http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl'}","{'neighb1':'105','neighb2':'132','neighb3':'161','neighb4':'171','neighb5':'64'}"
61,61,"Jupiter Ascending","{'movie_id':'76757','original_title':'Jupiter Ascending','overview':'In a universe where human genetic material is the most precious commodity; an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…','tagline':'Expand your universe.','main_category':'Fantasy','homepage':'http://www.jupiterascending.com'}","{'neighb1':'84','neighb2':'238','neighb3':'55','neighb4':'50','neighb5':'208'}"
62,62,"The Legend of Tarzan","{'movie_id':'258489','original_title':'The Legend of Tarzan','overview':'Tarzan; having acclimated to life in London; is called back to his former home in the jungle to investigate the activities at a mining encampment.','tagline':'Human. Nature.','main_category':'Adventure','homepage':'http://legendoftarzan.com'}","{'neighb1':'21','neighb2':'189','neighb3':'304','neighb4':'640','neighb5':'469'}"
63,63,"The Chronicles of Narnia; The Lion; the Witch and the Wardrobe","{'movie_id':'411','original_title':'The Chronicles of Narnia; The Lion; the Witch and the Wardrobe','overview':'Siblings Lucy; Edmund; Susan and Peter step through a magical wardrobe and find the land of Narnia. There; the they discover a charming; once peaceful kingdom that has been plunged into eternal winter by the evil White Witch; Jadis. Aided by the wise and magnificent lion; Aslan; the children lead Narnia into a spectacular; climactic battle to be free of the Witch°s glacial powers forever.','tagline':'Evil Has Reigned For 100 Years...','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'114','neighb2':'15','neighb3':'48','neighb4':'175','neighb5':'368'}"
64,64,"X-Men; Apocalypse","{'movie_id':'246655','original_title':'X-Men; Apocalypse','overview':'After the re-emergence of the world°s first mutant; world-destroyer Apocalypse; the X-Men must unite to defeat his extinction level plan.','tagline':'Only the strong will survive','main_category':'','homepage':'http://www.foxmovies.com/movies/x-men-apocalypse'}","{'neighb1':'209','neighb2':'218','neighb3':'261','neighb4':'282','neighb5':'355'}"
65,65,"The Dark Knight","{'movie_id':'155','original_title':'The Dark Knight','overview':'Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent; Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective; but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.','tagline':'Why So Serious?','main_category':'Action','homepage':'http://thedarkknight.warnerbros.com/dvdsite/'}","{'neighb1':'3','neighb2':'119','neighb3':'690','neighb4':'444','neighb5':'280'}"
66,66,"Up","{'movie_id':'14160','original_title':'Up','overview':'Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78; life seems to have passed him by; until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.','tagline':' ','main_category':'Comedy','homepage':'http://disney.go.com/disneypictures/up/'}","{'neighb1':'566','neighb2':'631','neighb3':'514','neighb4':'325','neighb5':'348'}"
67,67,"Monsters vs Aliens","{'movie_id':'15512','original_title':'Monsters vs Aliens','overview':'When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day; she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan; secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...','tagline':'When aliens attack; monsters fight back.','main_category':'Family','homepage':'http://www.monstersvsaliens.com/'}","{'neighb1':'358','neighb2':'1044','neighb3':'1155','neighb4':'1777','neighb5':'1363'}"
68,68,"Iron Man","{'movie_id':'1726','original_title':'Iron Man','overview':'After being held captive in an Afghan cave; billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.','tagline':'Heroes aren°t born. They°re built.','main_category':'Science_Fiction','homepage':'http://www.ironmanmovie.com/'}","{'neighb1':'270','neighb2':'96','neighb3':'7','neighb4':'31','neighb5':'59'}"
69,69,"Hugo","{'movie_id':'44826','original_title':'Hugo','overview':'Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn°t work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures; he meets with a shopkeeper; George Melies; who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton; and he discovers it unlocks some memories the old man has buried inside regarding his past.','tagline':'One of the most legendary directors of our time takes you on an extraordinary adventure.','main_category':'Drama','homepage':'http://www.hugomovie.com/'}","{'neighb1':'1841','neighb2':'1172','neighb3':'651','neighb4':'667','neighb5':'561'}"
